#PAGE_URL,title,company-name,job-link_link,short-description-,location
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Business Development Specialist - Upper Egypt, golden, https://wuzzuf.net/jobs/p/1623d22c-3de2-455a-a973-3344393ed7c8-Business-Development-Specialist---Upper-Egypt-golden-Aswan-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1, Full Time · Experienced · 2+ Yrs of Exp · Business Development · Sales Skills · Sales · Sales Target · Architecture · Interior Designing · Marketing · Market Research · Marketing Analysis · English - June 16 - 2021, Aswan  Egypt
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Senior/Intermediate .NET Core Developer (Remote..., Confidential, https://wuzzuf.net/jobs/p/0efb55cc-3264-47b4-af86-ef989c12d9c4-Senior-Intermediate--NET-Core-Developer-Remote-Work-From-Egypt--Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2, Full Time · Experienced · 4+ Yrs of Exp · Software · Software Engineering · Software Development · Web Development · .Net · ASP.Net · Web Application · jQuery · Javascript · Ajax - June 27 - 2021, Cairo  Egypt
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Senior Software Developer, Bnsights, https://wuzzuf.net/jobs/p/d76caa63-bc76-4839-b30b-920cc8bacb15-Senior-Software-Developer-Bnsights-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=3, Full Time · Experienced · 6-10 Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software · javaScript - June 30 - 2021, New Cairo  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Software Developer / Desktop Development, ITS, https://wuzzuf.net/jobs/p/2ffe3403-b147-4b38-81ed-e57ff1e61eea-Software-Developer---Desktop-Development-ITS-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=4, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · .NET · C# · SQL · WCF · OOP · Debugging · Oracle · Architecture · javaScript - July 29 - 2021, Nasr City  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Senior Software Developer -Dynamics 365..., CrossWorkers, https://wuzzuf.net/jobs/p/b6ae6a6a-47b8-47f7-ac61-3b697c69f0f5-Senior-Software-Developer--Dynamics-365-Business-Central-extensions-CrossWorkers-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=5, Full Time · Experienced · 4-12 Yrs of Exp · AL Language · Azure SQL · C# · Computer Science · Dynamics 365 · Software Development · VS Code · IT/Software Development - July 27 - 2021, New Cairo  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Vodafone Egypt Customer Care Advisor, Vodafone Egypt, https://wuzzuf.net/jobs/p/f396ac99-f24e-4d88-8096-a18a8cb40ca4-Vodafone-Egypt-Customer-Care-Advisor-Vodafone-Egypt-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=6, Full Time · Entry Level · 0-3 Yrs of Exp · Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - July 25 - 2021, Maadi  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Senior Software Developer - Java, CrossWorkers, https://wuzzuf.net/jobs/p/2e2c1f50-862c-41d9-ab1f-d033ea95600b-Senior-Software-Developer---Java-CrossWorkers-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=7, Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Programming · javaScript · Software · HTML · CSS · English · Unit Testing · Java - July 7 - 2021, New Cairo  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Software Developer - As/400 Developer, Target Recruitment  & HR Solutions, https://wuzzuf.net/jobs/p/9aa73514-5bc1-49e1-8a1c-c487f897cbad-Software-Developer---As-400-Developer-Target-Recruitment-HR-Solutions-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=8, Full Time · Experienced · 5-10 Yrs of Exp · Software Development · Information Technology (IT) · MS SQL · AS400 · SQL · BI · Computer Science · javaScript · English · IT · Human Resources (HR) - June 24 - 2021, Cairo  Egypt
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, IT Developer, Confidential, https://wuzzuf.net/jobs/p/f84fc572-b364-491a-b9e3-37b54da43ebd-IT-Developer-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=9, Full Time · Experienced · 2-3 Yrs of Exp · Computer Science · End-user support · Engineering · Desktop Support · Technical Support · Information Technology · IT · Request Management Process · SDLC - June 20 - 2021, New Cairo  Cairo
https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt?start=0, Software Developer, Off-Beat, https://wuzzuf.net/jobs/p/ffbd3e09-4982-42a4-9dfc-8027cd844778-Software-Developer-Off-Beat-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=10, Full Time · Entry Level · 0-1 Yrs of Exp · Software Development · C# · Information Technology (IT) · Communication skills · Software Engineering · Communication · Computer Science - New, New Cairo  Cairo
